CustomerId,Id,AttributeId,AttributeValueId,Name,Description,ShowOnPage,DisplayOrder,Value
19255,191778,13,30,Klima stanica,Informacija da li kupac ima klima stanicu,TRUE,1,Da
19255,233745,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
19255,466092,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
55943,515669,16,40,Kanal prve komunikacije,Dodeljujemo atribut kupcu u zavisnosti od toga kako nas je prvi put kontaktirao,FALSE,0,PG
55943,511892,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
55943,511904,5,8,Kanal kupca za cenovnik,,TRUE,1,3
55943,511924,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
3946,151311,5,8,Kanal kupca za cenovnik,,TRUE,1,1
3946,238848,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
3946,484550,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
116141,146599,5,8,Kanal kupca za cenovnik,,TRUE,1,1
116141,202227,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
116141,476231,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
44816,119442,5,8,Kanal kupca za cenovnik,,TRUE,1,1
44816,224957,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
44816,470815,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
3461,121484,5,8,Kanal kupca za cenovnik,,TRUE,1,1
3461,230938,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
3461,452985,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
126581,521560,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
126581,190625,5,8,Kanal kupca za cenovnik,,TRUE,1,3
126581,230466,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
126581,463931,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
50783,150515,5,8,Kanal kupca za cenovnik,,TRUE,1,1
50783,217705,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
50783,478250,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
51825,122736,5,8,Kanal kupca za cenovnik,,TRUE,1,1
51825,198805,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
51825,467057,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
7735,517290,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
7735,184749,5,8,Kanal kupca za cenovnik,,TRUE,1,3
7735,223609,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
7735,466031,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
116470,521295,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
116470,183290,5,8,Kanal kupca za cenovnik,,TRUE,1,3
116470,218827,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
116470,462516,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Da
22785,123472,5,8,Kanal kupca za cenovnik,,TRUE,1,1
22785,232134,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
22785,473591,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
130507,522010,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
130507,522016,5,8,Kanal kupca za cenovnik,,TRUE,1,2
130507,522041,4,6,Eshop kupac,Kupac koji ima nalog na Eshop-u,TRUE,1,Ne
26260,517689,17,41,Relevantan kupac,,TRUE,0,Relevantan kupac
26260,175902,5,8,Kanal kupca za cenovnik,,TRUE,1,3
26260,207040,8,17,Ugovor,Da li kupac ima ugovor,TRUE,1,Ne
