CustomerId,CategoryOfItemsId,Turnover,Potential,UnusedPotential,NoOfItems,Name
45400,7998,0,2164.36,2164.36,0,RUČNI ALAT
45400,8057,0,837.78,837.78,0,Pantalone - Zaštita na radu
45400,8062,0,2421.02,2421.02,0,Radna odela - Zaštita na radu
124756,7806,2908.76,13740.13,10831.37,4,Rukavice - Zaštita na radu
124756,7808,15.59,6671.37,6655.78,1,Burgije za metal              
124756,7809,0,8144.61,8144.61,0,"Ostali rezni alat (ureznice, n"
124756,7815,9248.98,68798.12,59549.14,2,Radna odeća -Zaštita na radu
124756,7820,35954.41,51118.86,15164.45,2,MASTER mašine                 
124756,7836,0,11197.13,11197.13,0,"Ankeri, tiplovi               "
124756,7849,0,17087.6,17087.6,0,Protivpožarna zaštita
124756,7862,0,14911.8,14911.8,0,Mašinski navoj                
124756,7865,0,12794.18,12794.18,0,Šelne sa gumom i instalacije
124756,7909,4205.76,50602.49,46396.73,1,Cipele - Zaštita na radu
124756,7982,0,10999.54,10999.54,0,Navojne štangle
124756,7983,0,7107.1,7107.1,0,Varifix
124756,7998,301.33,50710.88,50409.55,1,RUČNI ALAT
124756,8057,0,14886.15,14886.15,0,Pantalone - Zaštita na radu
124756,8062,7520.8,7520.8,0,2,Radna odela - Zaštita na radu
100835,7800,0,49751.11,49751.11,0,Sijalice                      
100835,7805,772.42,0,0,0,K+D/MS Polimeri               
100835,7806,5886.1,44122.79,38236.69,4,Rukavice - Zaštita na radu
100835,7815,0,105985.32,105985.32,0,Radna odeća -Zaštita na radu
100835,7820,0,70016.81,70016.81,0,MASTER mašine                 
100835,7859,0,48385.07,48385.07,0,Podmazivači                   
100835,7860,4193,30492.98,26299.98,1,Radionička oprema             
100835,7898,0,32608.04,32608.04,0,Zavarivanje - Aparati za zavar
100835,7900,0,51561.9,51561.9,0,Antifriz                      
100835,7904,0,82378.95,82378.95,0,Triathlon                     
100835,7908,12240,62367.09,50127.09,1,Masti                         
100835,7909,23880,54655.48,30775.48,4,Cipele - Zaštita na radu
100835,7986,0,40712.2,40712.2,0,Hidraulična ulja
100835,7998,6367.59,143099.56,136731.97,2,RUČNI ALAT
100835,8059,0,52339.93,52339.93,0,Čistač kočnica
100835,8062,28793.92,28793.92,0,4,Radna odela - Zaštita na radu
